127.0.0.1 - - [29/Dec/2022:09:09:42 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Dec/2022:09:09:54 +0900] "GET /WebStudy02_MVN/ HTTP/1.1" 200 744
0:0:0:0:0:0:0:1 - - [29/Dec/2022:09:09:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Dec/2022:09:09:55 +0900] "GET /WebStudy02_MVN/login/loginForm.jsp;jsessionid=8EF7DCD6CB6DD9105DE1F8105DAB5346 HTTP/1.1" 200 620
0:0:0:0:0:0:0:1 - - [29/Dec/2022:09:10:04 +0900] "POST /WebStudy02_MVN/login/loginProcess.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Dec/2022:09:10:04 +0900] "GET /WebStudy02_MVN/ HTTP/1.1" 200 928
0:0:0:0:0:0:0:1 - - [29/Dec/2022:09:10:05 +0900] "GET /WebStudy02_MVN/mypage.do HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [29/Dec/2022:09:10:22 +0900] "GET /WebStudy02_MVN/mypage.do HTTP/1.1" 200 3692
0:0:0:0:0:0:0:1 - - [29/Dec/2022:09:15:35 +0900] "GET /WebStudy02_MVN/mypage.do HTTP/1.1" 200 3673
0:0:0:0:0:0:0:1 - - [29/Dec/2022:09:15:36 +0900] "GET /WebStudy02_MVN/mypage.do HTTP/1.1" 200 3673
0:0:0:0:0:0:0:1 - - [29/Dec/2022:09:15:36 +0900] "GET /WebStudy02_MVN/mypage.do HTTP/1.1" 200 3673
0:0:0:0:0:0:0:1 - - [29/Dec/2022:09:15:36 +0900] "GET /WebStudy02_MVN/mypage.do HTTP/1.1" 200 3673
0:0:0:0:0:0:0:1 - - [29/Dec/2022:09:15:37 +0900] "GET /WebStudy02_MVN/mypage.do HTTP/1.1" 200 3673
0:0:0:0:0:0:0:1 - - [29/Dec/2022:09:15:37 +0900] "GET /WebStudy02_MVN/mypage.do HTTP/1.1" 200 3673
0:0:0:0:0:0:0:1 - - [29/Dec/2022:09:15:37 +0900] "GET /WebStudy02_MVN/mypage.do HTTP/1.1" 200 3673
0:0:0:0:0:0:0:1 - - [29/Dec/2022:09:15:56 +0900] "GET /WebStudy02_MVN/mypage.do HTTP/1.1" 200 3672
0:0:0:0:0:0:0:1 - - [29/Dec/2022:09:15:57 +0900] "GET /WebStudy02_MVN/mypage.do HTTP/1.1" 200 3672
